id,text,word_count,language,source,source_type,collection_date,sdg_labels,primary_sdg,sdg_targets,confidence,annotation_notes
331a4bf2,"204 The Impact of Pradhan Mantri Kisan Samman Nidhi Scheme on the Farm Income of Beneficiaries in Uttar Pradesh Study Sponsored by Ministry of Agriculture and Government of India, New Delhi Agro-Economic Research Centre University of Allahabad Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) is a new Central Sector Scheme to provide income support to all landholding farmers' families in the country to supplement their financial needs for procuring various inputs related to agriculture and allied activities as well as domestic needs. Under the PM-KISAN scheme, all landholding farmers' families shall be provided the financial benefit of Rs. 6000 per annum per family payable in three equal instalments of Rs. 2000 each, every four months.",114,en,PM_Kisan_PDF_Final,government_document,2026-05-07,"[2, 8]",2,,high,text discusses crop yield and farm labour costs
55092454,"PM-Kisan Samman Nidhi Yojana was announced on February 1, 2019, during the Interim-Union Budget 2019 and was effective from December 2018. Prime Minister Narendra Modi launched PM-Kisan Samman Nidhi Yojana on February 24, 2019, in Gorakhpur. PM Modi transferred the first instalment to 1 Crore farmers of Rs. 2000 each ahead of the Lok Sabha Elections 2019. The scheme aims to strengthen the financial capability of the farmers in procuring agricultural inputs and encourage adoption of modern techniques in the crops to obtain optimum yield. Apart from this, it also helps in reducing the liquidity constraints and easing the access to credit. The programme is totally funded by the Government of India. At present 2 crores, 56 lakh farmers of Uttar Pradesh are covered under the scheme.",127,en,PM_Kisan_PDF_Final,government_document,2026-05-07,"[2, 8]",2,,high,text discusses crop yield and farm labour costs
a1ad3ed3,"Out of the total 10 crore 46 lakh beneficiaries under this scheme in the country in 2018-19, more than 26.93 per cent belonged to U.P alone. Therefore, it was relevant to know the outcome of this huge investment at the ground level. In order to know the impact of this scheme on the farm income of the beneficiaries, a study has been conducted by the Agro-Economic Research Centre of University of Allahabad, Prayagraj in the third week of May 2022, taking 2020-21 and 2021-22 as the reference year. In this context, 120 beneficiaries and 120 non- beneficiaries were selected from 4 districts of 4 different economic regions of Uttar Pradesh.",110,en,PM_Kisan_PDF_Final,government_document,2026-05-07,"[2, 8]",2,,high,text discusses crop yield and farm labour costs
3f61041f,"A comparative analysis has been done to measure the impact of the scheme on the farm income of the beneficiaries with the non-beneficiaries. The report has been meticulously drafted by Mr. Singh, Ex-Research Officer of the Centre, under my guidance and supervision. Rajesh Kumar, Director of Agriculture, Statistics and Crop Insurance of Uttar Pradesh, provided his full support and cooperation to the research team of the Centre during the collection of the secondary and primary data for the study. I am highly obliged to him. We are also thankful to Shri. B.K Sisodia, Additional Director of Agriculture (PM-Kisan Division) and Deputy Directors of the concerned districts, (Azamgarh, Hardoi, Shahjahanpur and Jhansi) who extended their perennial support to the team. I am thankful to all of them.",126,en,PM_Kisan_PDF_Final,government_document,2026-05-07,"[2, 8]",2,,high,text discusses crop yield and farm labour costs
1fb8e5c1,"I am also highly obliged to the selected sample farmers for sharing with us their valuable information and experiences. Malviya of the Centre had put a lot of effort from the planning to the completion of this study. Their efforts are praiseworthy for which they deserve due credit. Divya Tiwari typed the entire report. Their efforts are also acknowledged. Ramesh Yadav, Assistant Economic Adviser (AER), Ministry of Agriculture and Farmers Welfare, Directorate of Economics & Statistics provided valuable suggestions for the improvement of the study proposal. I am grateful to him for his I strongly believe that the present report would be useful for policy makers and researchers as All the comments and suggestions for the improvement in this report of the study will be acknowledged thankfully.",127,en,PM_Kisan_PDF_Final,government_document,2026-05-07,"[2, 8]",2,,high,text discusses crop yield and farm labour costs
132b9142,Agro-Economic Research Centre Javed Akhtar University of Allahabad Coordinator Javed Akhtar Overall Supervision Mr. R.O) Supervision of the analysis of data and Mr. Hasib Ahmad Planning and conducting of the field survey along with the tabulation and analysis of the Dr. Malviya Field Survey Dr. Tinku Paul Editing of report as per comments & presentation of report Posting of data and Typing of the Report Ms. Divya Tiwari Typing of the Report Mr. Singh Secretarial Services Mr.,77,en,PM_Kisan_PDF_Final,government_document,2026-05-07,"[2, 8]",2,,high,text discusses crop yield and farm labour costs
f99b9127,"Upadhyay & Support Service Chapter–VI Opinion and Views of the Sample Beneficiary Farmers Related to 45-49 the Pros and Cons of the Pradhan Mantri Kisan Samman Nidhi VI.2 Opinion of Beneficiaries Farmers about PM-Kisan Scheme 47-48 VI.3 Suggestions for the Scheme 48-49 Chapter–VII Summary, Conclusion and Policy Implication 50-57 VII.1 Conclusion and Probable Solution 50-52 VII.2 Socio-Economic Status of Sample Beneficiaries and Non- 52 VII.3 Land Utilization and Cropping Pattern on the Sample Farms 52-53 VII.4 Cost of Cultivation of Different Crops on the Sample Farms 53 VII.5 Pattern of Utilisation of Funds of the PM-Kisan Scheme 53-54 VII.6 Production and Income of the Beneficiary Farms Vs.",107,en,PM_Kisan_PDF_Final,government_document,2026-05-07,"[2, 8]",2,,high,text discusses crop yield and farm labour costs
cb0286d3,"Non-beneficiary 54-55 VII.7 Policy Implications 55-57 AERC - Agro-Economic Research Centre ADRTC - Agricultural Development and Rural Transformation PM-Kisan - Pradhan Mantri Krishi Samman Nidhi DPAD - Drought Prone Area Development DADP - District Area Development Programme FDWS - Farm Debt Waiver Scheme FMB - Farm Machinery Bank ISEC - Institute of Social and Economic Change KCC - Kisan Credit Card DBT - Direct Benefit Transfer SHC - Soil Health Card VAA - Value Added Applicability KVK - Krishi Vigyan Kendra MSP - Minimum Support Prices ICAR - Indian Council of Agriculture Research IFPRI - International Food Policy Research Institute KALLIA - Krushak Assistance for Livelihood and Income Augmentation GC - Gross Cropped Area The PM-Kisan Scheme was launched on December 1st, 2018 across the country.",126,en,PM_Kisan_PDF_Final,government_document,2026-05-07,"[2, 8]",2,,high,text discusses crop yield and farm labour costs
bffceff2,"The fore most objective of this scheme is to provide financial support to the farmers to procure agricultural inputs for getting better yield from the crops. The liquidity constraints, lack of information, credit etc. are the major hurdles in the way of better adoption of the modern techniques in the agriculture. The cash transfer under this scheme strengthens the financial capability of the beneficiaries to spend more money on the purchase of the agricultural inputs and useful in adoption of modern techniques in agriculture. It is very helpful in easing the credit and liquidity constraints in purchasing the agricultural inputs. The cash under this scheme is transferred directly through the DBT system in the bank accounts of the beneficiaries.",119,en,PM_Kisan_PDF_Final,government_document,2026-05-07,"[2, 8]",2,,high,text discusses crop yield and farm labour costs
6a64cf55,"More than 10 crore, 46 lakh farmers of the country have been covered under this scheme during 2018-19, of which the share of U.P is highest being 26.93 per cent. Empirical Findings of the Study In order to know the impact of the scheme on farm income of the beneficiaries, the study had been undertaken by the Agro-Economic Research Centre, University of Allahabad, Prayagraj in third week of May 2022 taking 2020-21 and 2022 as the reference year. Socio-Economic status of Sample Beneficiaries and Non-beneficiaries 46.67 per cent of sample beneficiary families belonged to OBC followed by 29.17 per cent and 24.16 per cent of General and SC/ST categories respectively.",110,en,PM_Kisan_PDF_Final,government_document,2026-05-07,"[2, 8]",2,,high,text discusses crop yield and farm labour costs
