id,text,word_count,language,source,source_type,collection_date,sdg_labels,primary_sdg,sdg_targets,confidence,annotation_notes,synthetic_sdg
1bcdb4a3,"In Mansa district, Dalit farmers are routinely denied access to agricultural mandis and markets, forcing them to sell their meager wheat and cotton harvests to exploitative middlemen at rock-bottom prices. Local officials often turn a blind eye to these exclusionary practices, perpetuating the deep socioeconomic divide between the upper castes and marginalized SC communities.",54,en,synthetic_sdg10,synthetic,2026-05-13,[10],10,,high,"This chunk highlights the inequality and discrimination faced by Dalit farmers in accessing agricultural markets, which is a key issue under SDG 10 on reduced inequalities.",10
cfc26bb4,"The Bhatinda administration's recent 'Har Ghar Nal' scheme to provide clean drinking water connections has systematically overlooked Dalit settlements on the outskirts of the town. The local sarpanch justifies this by claiming that 'those people' don't maintain infrastructure properly. This blatant exclusion perpetuates the socioeconomic marginalization of the SC community, denying them a basic right enjoyed by the dominant castes.",60,en,synthetic_sdg10,synthetic,2026-05-13,[10],10,,high,"This chunk demonstrates how government schemes fail to reach marginalized SC communities, highlighting issues of inequality and discrimination under SDG 10.",10
af8b9075,"Jagmeet, a tribal farmer in Hoshiarpur, has been fighting for over a decade to get ownership rights to the small plot of ancestral land he tills. Despite numerous appeals, the local authorities have failed to recognize his claim, prioritizing the land ownership of dominant Jat Sikh landowners in the region. Jagmeet and his family remain landless, vulnerable to exploitation and excluded from the benefits of rural development schemes.",68,en,synthetic_sdg10,synthetic,2026-05-13,[10],10,,high,"This chunk highlights the lack of land rights and exclusion faced by tribal communities, which is a key inequality issue under SDG 10.",10
9a40bc7d,"In the paddy fields of Amritsar, Mukesh, an OBC farm laborer, earns 200 rupees per day - nearly 30% less than his upper-caste counterparts performing the same backbreaking work. When he confronted the landlord, he was threatened with dismissal. Lack of collective bargaining power and deep-rooted caste prejudices continue to perpetuate such wage disparities, trapping marginalized communities in a cycle of poverty.",62,en,synthetic_sdg10,synthetic,2026-05-13,[10],10,,high,"This chunk illustrates the wage discrimination faced by OBC farm labourers, which is a key inequality issue under SDG 10.",10
5d6e4d6c,"Malkit, a Dalit woman in Ludhiana, was denied admission to the local primary health center after the staff discovered her caste. 'We can't allow people like you to use our facilities,' the rude receptionist told her. Incidents like these, rooted in age-old prejudices, prevent marginalized communities from accessing basic public services, further entrenching inequalities in rural Punjab.",57,en,synthetic_sdg10,synthetic,2026-05-13,[10],10,,high,"This chunk demonstrates the discrimination and exclusion faced by Dalit communities in accessing public services, which is a key inequality issue under SDG 10.",10
b4c0a4d1,"The Rupnagar district administration's recent scheme to distribute subsidized fertilizers has overwhelmingly benefited land-owning Jat Sikh farmers, leaving out small and marginal Dalit cultivators. 'We don't have the influence to get our names on the list,' laments Jasvir, a landless Dalit farmer. Such exclusion from government support programs perpetuates the socioeconomic divide between dominant and marginalized communities.",57,en,synthetic_sdg10,synthetic,2026-05-13,[10],10,,high,"This chunk highlights how government schemes fail to reach marginalized Dalit farmers, demonstrating inequality of access and opportunity under SDG 10.",10
9325bad0,"In the Sutlej riverine villages of Ferozepur, tribal communities have traditionally depended on fishing and small-scale agriculture for their livelihoods. However, the construction of dams and canals by the irrigation department has progressively eroded their access to common property resources, forcing many to migrate to cities in search of menial work. The lack of rehabilitation and compensation packages further exacerbates the socioeconomic marginalization of these vulnerable groups.",67,en,synthetic_sdg10,synthetic,2026-05-13,[10],10,,high,"This chunk illustrates how development projects have disproportionately impacted tribal communities, leading to their socioeconomic exclusion - a key inequality issue under SDG 10.",10
5c5a68d5,"Surjeet, a Dalit farmer in Bathinda, has been repeatedly denied access to the government's Pradhan Mantri Kisan Samman Nidhi scheme, which provides income support to small and marginal cultivators. 'The sarpanch and other upper-caste leaders keep our names off the beneficiary list,' he rues. Such exclusion from welfare programs perpetuates the stark economic divide between dominant castes and marginalized Dalit communities in rural Punjab.",64,en,synthetic_sdg10,synthetic,2026-05-13,[10],10,,high,"This chunk demonstrates how marginalized Dalit farmers are denied access to government assistance schemes, exacerbating inequality - a key focus of SDG 10.",10
76b0db2a,"In the paddy fields of Sangrur, Rajni, an OBC woman farm laborer, earns 30% less than her male counterparts for performing the same strenuous tasks. When she attempted to bargain for equal wages, the landlord threatened to replace her with a man. Entrenched patriarchal norms and lack of collective bargaining power continue to trap women from marginalized communities in a cycle of economic exploitation and disempowerment.",66,en,synthetic_sdg10,synthetic,2026-05-13,[10],10,,high,"This chunk illustrates the intersectional nature of inequality, highlighting the wage discrimination faced by OBC women farm laborers - a key issue under SDG 10.",10
93d1514c,"Ramesh, a Dalit smallholder in Jalandhar, has been struggling to get a loan approved under the Kisan Credit Card scheme. The local bank manager openly told him that 'people like you' are prone to default. Such pervasive caste biases in access to institutional credit perpetuate the economic marginalization of Dalit farmers, denying them crucial working capital to improve their meager landholdings.",61,en,synthetic_sdg10,synthetic,2026-05-13,[10],10,,high,"This chunk demonstrates how Dalit farmers face discrimination in accessing financial services, hindering their economic opportunities - a key inequality issue under SDG 10.",10
